플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,35.2,17,7.338068181818182,258.3
치지직,하루 님,24.2,16,7.607438016528926,184.1
치지직,Silecat,26,11,4.984615384615385,129.6
치지직,SangWooo,15.9,12,5.861635220125786,93.2
치지직,냐아초,24.5,10,3.4,83.3
치지직,뚜루쿤,12.2,13,5.991803278688525,73.1
치지직,릴테이프,12,12,5.016666666666667,60.2
치지직,GrtF5SL,18,9,3.3,59.4
치지직,서레이 SeoREI,12,10,4.816666666666666,57.8
치지직,무박이,19.2,8,2.6822916666666665,51.5
치지직,김파인애플,10.6,14,4.556603773584905,48.3
치지직,reibow,7.4,14,6.391891891891892,47.3
치지직,사초21,9.4,10,4.819148936170213,45.3
치지직,너구리OwO,9.7,12,4.247422680412371,41.2
치지직,망쵸,2.7,15,11.666666666666666,31.5
치지직,도그홀,3.4,16,9.205882352941176,31.3
치지직,포트나이트 티렉스TREX,9.7,6,3.1752577319587627,30.8
치지직,우묘,8.9,9,3.247191011235955,28.9
치지직,Hosang Rifle,6.1,9,4.557377049180328,27.8
치지직,피그루,7.2,6,3.0972222222222223,22.3
치지직,DUKE 듀크,5.2,7,3.1923076923076925,16.6
치지직,puff,4.6,9,2.8260869565217392,13
치지직,Earth hippo 하마,5.9,4,1.6779661016949152,9.9
치지직,시그 SIG,4,5,2.2,8.8
치지직,Aeris ow,2.1,6,3.6666666666666665,7.7
치지직,강 혜 성,2.5,6,2.72,6.8
치지직,XINWU,1.7,7,3.6470588235294117,6.2
치지직,살아잇네예,2.1,5,2.3333333333333335,4.9
치지직,도타치,5.2,3,0.8653846153846154,4.5
치지직,삼하나31,1.6,4,2.375,3.8
치지직,물리몰리,2,5,1.85,3.7
치지직,Arta,1.4,5,2.642857142857143,3.7
치지직,달방짝방,0.8,6,3.75,3
치지직,lazymerongy,0.9,5,2.7777777777777777,2.5
치지직,우송씨,1.3,3,1.4615384615384615,1.9
치지직,에그머니야,0.6,2,1.1666666666666667,0.7
치지직,나는 사실 입문자 6459,0.2,2,1.5,0.3
치지직,나루다,0.1,1,1,0.1
